image,alpha_1,alpha_2,beta,rho
kodim01_scsc_0.50.png,0.71929,0.78941,0.11771,0.5
kodim03_scst_0.75.bmp,0.97419,0.97595,0.60452,0.75
kodim04_crop_0.50.bmp,0.88031,0.9813,0.57329,0.5
kodim05_seam_0.50.bmp,0.78956,0.80887,0.15722,0.5
kodim06_scsc_0.75.png,0.9676,0.97732,0.52531,0.75
kodim07_scst_0.75.bmp,0.92755,0.93641,0.52288,0.75
kodim08_scst_0.50.bmp,0.78223,0.80322,0.1833,0.5
kodim09_scst_0.50.bmp,0.97161,0.98093,0.51323,0.5
kodim10_crop_0.50.bmp,0.9242,0.99646,0.79934,0.5
kodim11_scal_0.50.bmp,0.90866,0.89913,0.074457,0.5
kodim12_scal_0.50.bmp,0.91044,0.88267,0.19417,0.5
kodim13_crop_0.50.bmp,0.81498,0.98656,0.66027,0.5
kodim14_crop_0.50.bmp,0.85852,0.99949,0.73607,0.5
kodim16_scal_0.50.bmp,0.88304,0.86883,0.086957,0.5
kodim17_crop_0.50.bmp,0.86332,0.99103,0.65886,0.5
kodim18_scal_0.50.bmp,0.8746,0.84935,0.037008,0.5
kodim19_scsc_0.50.png,0.94677,0.95322,0.30846,0.5
kodim20_seam_0.50.bmp,0.90659,0.92827,0.48742,0.5
kodim21_scal_0.50.bmp,0.75126,0.78915,0.064646,0.5
kodim22_seam_0.50.bmp,0.83924,0.87057,0.20168,0.5
kodim23_scsc_0.50.png,0.96814,0.96714,0.27404,0.5
kodim24_seam_0.50.bmp,0.73984,0.76538,0.24934,0.5
monarch_crop_0.75.bmp,0.96425,1,0.95351,0.75
kodim01_scsc_0.75.png,0.8878,0.92746,0.46664,0.75
kodim03_seam_0.50.bmp,0.92081,0.93105,0.30899,0.5
kodim04_scsc_0.75.png,0.95938,0.96795,0.54688,0.75
kodim05_warp_0.50.bmp,0.7877,0.86093,0.11613,0.5
kodim06_scst_0.50.bmp,0.93232,0.94058,0.33677,0.5
kodim07_seam_0.50.bmp,0.88097,0.85455,0.31341,0.5
kodim08_seam_0.50.bmp,0.7414,0.78874,0.20696,0.5
kodim09_seam_0.50.bmp,0.93849,0.93018,0.75709,0.5
kodim10_scsc_0.75.png,0.96507,0.96476,0.53191,0.75
kodim11_scst_0.50.bmp,0.95477,0.97681,0.25322,0.5
kodim12_scsc_0.50.png,0.95312,0.93974,0.39729,0.5
kodim13_scst_0.50.bmp,0.84164,0.91128,0.12796,0.5
kodim14_scal_0.75.bmp,0.94848,0.95869,0.31519,0.75
kodim16_scsc_0.50.png,0.87358,0.88561,0.17197,0.5
kodim17_seam_0.50.bmp,0.87402,0.84226,0.37956,0.5
kodim18_scsc_0.75.png,0.98315,0.9602,0.54028,0.75
kodim19_scsc_0.75.png,0.97233,0.98395,0.53421,0.75
kodim20_shif_0.50.bmp,0.91917,0.99328,0.76246,0.5
kodim21_scsc_0.75.png,0.91127,0.91618,0.49575,0.75
kodim22_seam_0.75.bmp,0.90991,0.9177,0.47564,0.75
kodim23_scsc_0.75.png,0.9822,0.98416,0.62192,0.75
kodim24_seam_0.75.bmp,0.81892,0.83588,0.55948,0.75
monarch_scst_0.50.bmp,0.89963,0.9332,0.29954,0.5
kodim01_scst_0.50.bmp,0.7991,0.863,0.15912,0.5
kodim03_seam_0.75.bmp,0.97443,0.96775,0.68617,0.75
kodim04_seam_0.50.bmp,0.82038,0.85966,0.31579,0.5
kodim05_warp_0.75.bmp,0.91432,0.91854,0.37832,0.75
kodim06_shif_0.50.bmp,0.94959,0.98667,0.83748,0.5
kodim07_seam_0.75.bmp,0.9511,0.95098,0.77361,0.75
kodim08_seam_0.75.bmp,0.84156,0.83842,0.56759,0.75
kodim09_seam_0.75.bmp,0.98138,0.97875,0.90952,0.75
kodim10_seam_0.50.bmp,0.92573,0.90286,0.64698,0.5
kodim11_seam_0.50.bmp,0.89947,0.89261,0.51736,0.5
kodim12_scst_0.50.bmp,0.96168,0.97439,0.43005,0.5
kodim13_seam_0.50.bmp,0.83855,0.87607,0.1044,0.5
kodim14_scst_0.50.bmp,0.86049,0.8884,0.23056,0.5
kodim16_scst_0.50.bmp,0.93518,0.91921,0.25743,0.5
kodim17_warp_0.75.bmp,0.94246,0.93144,0.56971,0.75
kodim18_scst_0.50.bmp,0.92201,0.90826,0.31442,0.5
kodim19_scst_0.50.bmp,0.94314,0.97362,0.51633,0.5
kodim20_warp_0.75.bmp,0.96838,0.97464,0.47876,0.75
kodim21_scst_0.50.bmp,0.90973,0.94467,0.24961,0.5
kodim22_warp_0.50.bmp,0.79743,0.84432,0.099808,0.5
kodim23_scst_0.50.bmp,0.95067,0.9822,0.32312,0.5
kodim24_shif_0.75.bmp,0.92236,0.99295,0.84733,0.75
monarch_seam_0.50.bmp,0.79547,0.80714,0.18904,0.5
ArtRoom_crop_0.50.bmp,0.91358,0.99527,0.81615,0.5
Lotus_scal_0.50.png,0.90762,0.90784,0.17831,0.5
Perissa_Santorini_crop_0.50.png,0.79669,1,0.67156,0.5
Sanfrancisco_crop_0.50.bmp,0.72475,0.99454,0.59281,0.5
Umdan_ener_0.50.png,0.82924,0.85186,0.24023,0.5
bicycle1_scal_0.75.bmp,0.87424,0.90901,0.34518,0.75
blueman_crop_0.50.bmp,0.83364,0.99769,0.65199,0.5
buddha_mult_0.75.png,0.95288,0.96073,0.40922,0.75
butterfly_scal_0.50.png,0.91368,0.92179,0.027027,0.5
car1_seam_0.50.bmp,0.76356,0.81584,0.21673,0.5
car_crop_0.50.bmp,0.92301,0.98669,0.72093,0.5
child_scal_0.50.bmp,0.87154,0.86995,0.066667,0.5
colosseum_crop_0.50.bmp,0.81137,0.98449,0.64935,0.5
eagle_scal_0.50.bmp,0.83569,0.84392,0.09417,0.5
face_ener_0.75.png,0.93148,0.94468,0.62069,0.75
fish_mult_0.50.png,0.8493,0.84801,0.162,0.5
fishing_ener_0.50.png,0.85855,0.90354,0.13353,0.5
getty_seam_0.75.bmp,0.92638,0.91927,0.68116,0.75
girls_seam_0.50.bmp,0.8211,0.86111,0.20731,0.5
jon_ener_0.50.png,0.80091,0.85565,0.16399,0.5
kids_crop_0.75.png,0.86517,0.99747,0.8222,0.75
kodim02_scsc_0.50.png,0.93519,0.94133,0.14054,0.5
kodim15_scsc_0.50.png,0.95062,0.93237,0.43094,0.5
mnm_scst_0.75.png,0.93955,0.96547,0.46967,0.75
obama_ener_0.75.png,0.93173,0.94206,0.44045,0.75
pencils_seam_0.50.bmp,0.83629,0.8934,0.4078,0.5
penguins_scal_0.50.bmp,0.80033,0.83756,0.12837,0.5
pigeons_ener_0.50.png,0.73104,0.80743,0.061941,0.5
ski_ener_0.50.png,0.76403,0.83486,0.18095,0.5
soccer_seam_0.50.bmp,0.78607,0.87366,0.34339,0.5
surfer_crop_0.50.bmp,0.92474,0.99577,0.80921,0.5
tiger_ener_0.75.png,0.8953,0.90979,0.36275,0.75
venice_seam_0.50.bmp,0.92243,0.9325,0.7373,0.5
volleyball_mult_0.75.png,0.95238,0.94625,0.57975,0.75
ArtRoom_scal_0.50.bmp,0.83235,0.835,0.06169,0.5
Lotus_scst_0.50.png,0.95831,0.95739,0.50378,0.5
Perissa_Santorini_mult_0.50.png,0.88323,0.91177,0.10617,0.5
Sanfrancisco_seam_0.50.bmp,0.7797,0.81404,0.1735,0.5
Umdan_scst_0.50.png,0.8699,0.91781,0.3699,0.5
bicycle1_seam_0.50.bmp,0.90142,0.93278,0.41709,0.5
blueman_scal_0.50.bmp,0.80612,0.82532,0.075047,0.5
buddha_seam_0.50.bmp,0.91035,0.92686,0.67213,0.5
butterfly_shif_0.50.png,0.95149,0.97791,0.63596,0.5
car1_shif_0.50.bmp,0.88922,0.98889,0.71506,0.5
car_seam_0.50.bmp,0.88946,0.89455,0.46743,0.5
child_seam_0.50.bmp,0.96096,0.96385,0.65896,0.5
colosseum_seam_0.50.bmp,0.75102,0.81395,0.19497,0.5
eagle_seam_0.75.bmp,0.92698,0.9566,0.78278,0.75
face_scst_0.75.png,0.95449,0.92576,0.57988,0.75
fish_scal_0.50.png,0.82463,0.80797,0.12586,0.5
fishing_mult_0.50.png,0.80325,0.88794,0.18699,0.5
getty_stvi_0.75.png,0.91676,0.94863,0.43496,0.75
girls_stvi_0.75.png,0.85429,0.90829,0.4251,0.75
jon_seam_0.50.png,0.89397,0.9059,0.31062,0.5
kids_seam_0.50.bmp,0.75852,0.81147,0.12566,0.5
kodim02_seam_0.50.bmp,0.95532,0.94834,0.56502,0.5
kodim15_seam_0.75.bmp,0.9854,0.97222,0.88614,0.75
mnm_seam_0.50.bmp,0.839,0.89614,0.16,0.5
obama_mult_0.75.png,0.95428,0.95562,0.56542,0.75
pencils_stvi_0.75.png,0.96905,0.96886,0.65401,0.75
penguins_scst_0.75.png,0.94906,0.93346,0.52468,0.75
pigeons_mult_0.50.png,0.79888,0.79972,0.027926,0.5
ski_mult_0.50.png,0.79626,0.8505,0.19355,0.5
soccer_seam_0.75.bmp,0.92026,0.95134,0.68553,0.75
surfer_seam_0.50.bmp,0.88868,0.92553,0.29525,0.5
tiger_seam_0.50.bmp,0.76441,0.75518,0.35434,0.5
venice_shif_0.50.bmp,0.93521,0.99538,0.83305,0.5
volleyball_seam_0.50.bmp,0.82347,0.81489,0.45302,0.5
ArtRoom_seam_0.50.bmp,0.85075,0.8601,0.17924,0.5
Lotus_warp_0.50.png,0.91697,0.96502,0.55908,0.5
Perissa_Santorini_shif_0.50.png,0.84022,0.96256,0.54503,0.5
Sanfrancisco_warp_0.50.bmp,0.79193,0.8597,0.097601,0.5
Umdan_seam_0.50.png,0.87825,0.8444,0.29764,0.5
bicycle1_shif_0.50.bmp,0.92821,0.98919,0.73569,0.5
blueman_seam_0.50.bmp,0.89032,0.8763,0.41756,0.5
buddha_seam_0.75.png,0.94465,0.93766,0.81443,0.75
butterfly_warp_0.50.png,0.91684,0.95559,0.35739,0.5
car1_warp_0.50.bmp,0.78487,0.90347,0.26054,0.5
car_warp_0.50.bmp,0.93334,0.93946,0.19293,0.5
child_warp_0.50.bmp,0.96469,0.97622,0.57056,0.5
colosseum_shif_0.50.bmp,0.90894,0.99035,0.84824,0.5
eagle_warp_0.50.bmp,0.84212,0.84855,0.23093,0.5
face_seam_0.50.bmp,0.89911,0.88478,0.40476,0.5
fish_shif_0.50.png,0.88918,0.91457,0.38974,0.5
fishing_warp_0.50.png,0.84236,0.89839,0.16921,0.5
getty_warp_0.50.bmp,0.77214,0.84039,0.11468,0.5
girls_warp_0.50.bmp,0.72997,0.71051,0.15532,0.5
jon_stvi_0.50.png,0.90269,0.94869,0.25381,0.5
kids_warp_0.50.bmp,0.78596,0.86015,0.043561,0.5
kodim02_shif_0.50.bmp,0.97481,0.98356,0.82243,0.5
kodim15_shif_0.75.bmp,0.94946,0.98678,0.76331,0.75
mnm_stvi_0.75.png,0.91773,0.94258,0.44091,0.75
obama_warp_0.50.bmp,0.79673,0.84439,0.21472,0.5
pencils_warp_0.50.bmp,0.76157,0.815,0.14863,0.5
penguins_seam_0.75.bmp,0.94812,0.95315,0.64494,0.75
pigeons_warp_0.50.png,0.7864,0.8072,0.15682,0.5
ski_warp_0.50.png,0.73917,0.80123,0.15067,0.5
soccer_warp_0.50.bmp,0.77702,0.8771,0.15166,0.5
surfer_warp_0.50.bmp,0.89265,0.92221,0.26293,0.5
tiger_stvi_0.75.png,0.9411,0.91604,0.46138,0.75
venice_warp_0.75.png,0.93134,0.97074,0.69513,0.75
volleyball_warp_0.50.bmp,0.83911,0.84168,0.33464,0.5
